Cổ Phiếu,Vốn Hóa,Ghi chú Kiểu đầu tư,Đánh giá
FPT,190735,Ổn định tăng trưởng,Tăng trưởng nhiều quý - nối dài kỳ vọng nhờ AI và Giáo Dục
VEA,56641,Ổn định cổ tức cao,Chờ giá thấp - Chiến lược ổn định nhờ cổ tức
MWG,100872,Năng động tăng trưởng,Tăng trưởng nhờ hòa vốn BHX
VNM,154239,Ổn định phục hồi,Hưởng lợi nhờ giá đầu vào thấp - Kỳ vọng tiếp tục hưởng lợi trong các quý kế tiếp - Sản phẩm mới Vinabeef - Tài sản mới được vận hành từ tháng 6
DGC,42079,Ổn định tăng trưởng,"Tăng trưởng QoQ, có thể hưởng lợi từ giá Photpho"
SCS,8065,Ổn định tăng trưởng,Nối dài kỳ vọng tăng trưởng
DCM,19747,Năng động tăng trưởng,Sửa đổi luật VAT - Tiếp tục đẩy mạnh xuất khẩu - Tiếp tục có số tốt nhờ đã M&A nâng công suất
SSI,49349,Năng động tăng trưởng,Triển khai prefunding - Các thông tin tăng vốn - Doanh nghiệp còn dư địa tài khoản mới khi số lượng tài khoản mới ít so với đối thủ
GAS,189711,,Bán buôn LNG từ kho Thị Vải. Kỳ vọng đàm phán giá khí
BID,270771,Mảng kinh doanh mới,KQKD cải thiện kèm câu chuyện tăng vốn
PVD,15120,,Lô B Ô Môn
PVS,18927,,Lô B Ô Môn
BCM,74831,,Phát hành riêng lẻ 2025
STK,2585,,Hoàn thành phát hành riêng lẻ - Tăng trưởng tài sản - cải thiện KQKD
VPB,145984,,Chất lượng tài sản cải thiện - các thông tin bán vốn
ACB,107200,,Ổn định
TNH,2451,,Bệnh viện Việt Yên vận hành từ tháng 6 - Kỳ vọng phục hồi biên lãi
ANV,4313,,Chờ đợi thị trường Mỹ Trung - Giá cá phục hồi
VHC,16161,,Chờ đợi giá cả phục hồi
MSH,3676,,Chờ chuyển biến về đơn hàng
VND,22834,,Giải quyết được nợ liên quan Trung Nam
DHC,3095,,Chờ đợi biến đổi về giá đầu vào đầu ra
PC1,9019,,Cùng kỳ nền thấp - Thủy điện tăng trưởng
HHP,815,,Từ thương mại sang kinh doanh
HPG,165023,,Công suất tăng 40% kèm sự bảo hộ từ trong nước - Kỳ vọng giá phục hồi
MSN,111616,,Thoái vốn SK quý 3 - 4. Đang cầm TCB - Chú trọng vào MCH - Kỳ vọng MCH List HOSE
ACV,247519,,Sự phục hồi của Du lịch
STB,55897,,"Ghi nhận từ KCN Phong Phú , dư nợ VAMC giảm"
TCB,153934,,Phục hồi cùng nền kinh tế và các đơn vị liên quan như VHM
PNJ,35424,,Thị phần tiếp tục mở rộng - Giá vàng duy trì mức cao khi USD trên thế giới ngày càng nhiều
DBC,9018,,Dự án vắc xin có khả quan. Đã xuất hiện trong tài sản dở dang
GVR,139200,,Châu Âu ra luật chống phá rừng - giá cao su tăng - Tiếp tục chuyển đổi qua KCN
GDA,3169,,Lợi nhuận phục hồi - Định giá hấp dẫn - Triển vọng tài sản mới. Chờ giá đầu ra phục hồi
PAN,4825,,Rẻ so với lượng tài sản nắm giữ
IFS,2520,,Lợi nhuận tốt từ khi Kirin về cơ cấu - An toàn cổ tức đều
NTP,10034,,Thoái vốn
DDV,2716,,Tiền mặt chiếm 50% TTS - Lợi nhuận phục hồi - hết khấu hao nhà máy từ 2025
DPG,3326,,3 mảng gồm Điện - Bất Động Sản - Xây dựng đều phục hồi. Lanina và dự án BĐS lớn còn lại là động lực tăng trưởng. Mảng xây dựng Backlog tăng 71% yoy và gấp 4 lần giai đoạn 2018-2022
,,,Casamia Blanca ở Hội An 31ha phục hồi theo ngành BĐS
ELC,,,Lợi nhuận đột biến trong 2024 nhờ tiếp tục cung cấp giao thông thông minh cho Cao tốc Bắc Nam